08/21/19, 2:20 PM, 3620 Hamilton Walk Philadelphia, Currency taken from jar
08/22/19, 1:12 PM, 200 S 40th St Philadelphia, Wallet taken from purse
08/22/19, 3:10 PM, 3200 Walnut St Philadelphia, Wallet taken
08/22/19, 3:42 PM, 200 S 36th St Philadelphia, Generator taken from construction site
08/22/19, 8:48 PM, 3925 Walnut St Philadelphia, Unsecured purse taken
08/23/19, 10:07 AM, 4000 Market St Philadelphia, Citation issued for possession of marijuana
08/23/19, 1:24 PM, 3907 Walnut St Philadelphia, Counterfeiting by male/Arrest
08/23/19, 1:45 PM, 3409 Walnut St Philadelphia, Merchandise taken without payment
08/23/19, 9:54 PM, 4001 Walnut St Philadelphia, Bottle thrown at officer/Arrest
08/24/19, 2:13 AM, 4000 Locust Walk Philadelphia, Complainant assaulted by group of males
08/24/19, 9:37 PM, 3925 Pine St Philadelphia, Property removed from bedroom
08/25/19, 11:27 AM, 4033 Chancellor St Philadelphia, Unsecured duffle bag and bike taken from residence
08/25/19, 12:00 PM, 3800 Locust Walk Philadelphia, Confidential sex offense
08/25/19, 2:37 PM, 4033 Chancellor St Philadelphia, Computers taken from residence recovered on street
08/20/19, 4:24 PM, 4001 Walnut St Philadelphia, Domestic Assault
08/21/19, 12:40 PM, 3700 Chestnut St Philadelphia, Aggravated Assault
08/22/19, 12:12 PM, 42nd/Woodland Ave Philadelphia, Aggravated Assault/Arrest
08/23/19, 1:32 PM, 3900 Woodland Ave Philadelphia, Indecent Assault
08/23/19, 3:43 PM, 46th & Kingessing Ave Philadelphia, Robbery
08/23/19, 8:53 PM, 1223 S 47th St Philadelphia, Domestic Assault
08/24/19, 2:14 AM, 40th & Locust St Philadelphia, Aggravated Assault
08/24/19, 7:26 PM, 1229 S Markoe St Philadelphia, Aggravated Assault
08/13/19, 2:36 PM,3901 Walnut St Philadelphia, Cellphone taken from restroom
08/14/19, 6:24 AM, 3744 Spruce St Philadelphia, Merchandise taken without payment/Arrest
08/14/19, 8:48 AM, 140 S 36th St Philadelphia, Currency taken from safe
08/14/19, 4:14 PM, 3925 Walnut St Philadelphia, Merchandise taken without payment/Arrest
08/15/19, 3:04 PM, 4038 Sansom St Philadelphia, Unsecured package taken from porch/Arrest
08/16/19, 6:02 PM, 3925 Walnut St Philadelphia, Merchandise taken without payment/Arrest
08/16/19, 8:22 PM, 4006 Market St Philadelphia, Cellphone taken from pocket
08/17/19,8:45 AM, 4000 Delancey St Philadelphia, Offender narcotics and FTA warrant/Arrest
08/17/19,9:30 AM, 3925 Walnut St Philadelphia, Merchandise taken without payment/Arrest
08/17/19, 12:53 PM, 3925 Walnut St Philadelphia, Merchandise taken without payment/Arrest
08/17/19,6:40 PM,51 N 39th St Philadelphia, Unsecured wallet stolen
08/18/19, 12:37 PM, 3916 Locust Walk Philadelphia, Stained windows damaged by unknown person(s)
08/18/19, 1:11 PM, 3925 Walnut St Philadelphia, Merchandise taken without payment/Arrest
08/18/19, 7:36 PM, 2929 Walnut St Philadelphia, Unsecured cash stolen
08/18/19, 10:25 PM, 3100 Walnut St Philadelphia, Male punched in the face
08/18/19, 10:50 PM, 3400 Spruce St Philadelphia, Purse stolen from vehicle
08/14/19,7:58 AM,46th/Baltimore Ave Philadelphia, Robbery
10/23/19,2:40 AM,3600 Ludlow St Philadelphia,Stolen Auto
10/23/19,2:09 PM,4125 Chestnut St Philadelphia,Book taken
10/23/19,2:34 PM,3400 Spruce St Philadelphia,Laptop taken
10/23/19,5:02 PM,4000 Market St Philadelphia,Male grabbed Septa Pass from complainant
10/24/19,2:37 AM,4030 Irving St Philadelphia,Window broken
10/24/19,3:07 AM,3300 Market St Philadelphia,Wallet taken from complainant’s pocket
10/24/19,9:34 AM,3401 Walnut St Philadelphia,Unsecured wallet taken
10/24/19,7:54 PM,3300 Smith Walk Philadelphia,Bike taken/Arrest
