39.950762,-75.203294,10/15/19,02:11,400 S 40th St Philadelphia,Item removed from delivered package,theft
39.953049,-75.201755,10/15/19,09:03,3901 Locust Walk Philadelphia,Unsecured bike taken,theft
39.956471,-75.221454,10/15/19,11:47,4000 Walnut St Philadelphia,Backpack and contents taken,theft
39.954598,-75.192726,10/15/19,16:40,3411 Chestnut St Philadelphia,Gold ring taken from room,theft
39.958495,-75.199329,10/16/19,01:37,51 N 39th St Philadelphia,Property taken from construction site/Arrest,theft
39.952714,-75.193933,10/16/19,13:15,3420 Walnut St Philadelphia,Unattended wallet taken,theft
39.954598,-75.192726,10/16/19,13:49,3411 Chestnut St Philadelphia,Checks taken,theft
39.938106,-75.201984,10/16/19,22:36,255 S 36th St Philadelphia,Secured bike taken,theft
39.938106,-75.201984,10/17/19,09:31,120 S 36th St Philadelphia,Clothing stolen,theft
39.950762,-75.203294,10/17/19,11:23,400 S 40th St Philadelphia,Unsecured package taken,theft
39.952714,-75.193933,10/17/19,17:09,3420 Walnut St Philadelphia,Laptop taken from 5th floor,theft
39.939484,-75.194908,10/17/19,20:26,240 S 31st St Philadelphia,Two computers removed from vehicle,theft
39.950762,-75.203294,10/18/19,15:08,400 S 40th St Philadelphia,Package taken from lobby,theft
39.951822,-75.190194,10/19/19,06:48,209 S 33rd St Philadelphia,Male wanted on warrant/arrest,other
39.956471,-75.221454,10/19/19,15:35,3730 Walnut St Philadelphia,Money deducted from debit card without permission,theft
39.953585,-75.173316,10/20/19,02:28,3700 Market St Philadelphia,Intoxicated driver arrested,other
39.958495,-75.199329,10/20/19,05:22,51 N 39th St Philadelphia,Unsecured ID and credit card taken,theft
39.956471,-75.221454,10/20/19,13:07,3817 Walnut St Philadelphia,Call phone and debit card stolen,theft
39.953497,-75.218644,10/14/19,07:36,48th & Spruce Sts Philadelphia,Robbery,theft
39.953585,-75.173316,10/14/19,19:05,4548 Market St Philadelphia,Assault,assault
39.78373,-100.445882,10/17/19,17:16,47th & Spruce Sts Philadelphia,Assault,assault
39.928846,-75.238403,10/18/19,08:45,4501 Chester Ave Philadelphia,Assault,assault
39.78373,-100.445882,10/19/19,12:24,47th & Chestnut Sts Philadelphia,Robbery,theft
39.78373,-100.445882,10/19/19,21:52,48th & Locust Sts Philadelphia,Assault,assault
39.951882,-75.178858,10/19/19,22:51,4546 Sansom St Philadelphia,Domestic Assault,assault
39.954103,-75.201417,09/17/19,09:55, 3925 Walnut St Merchandise taken without payment/Arrest Philadelphia,,theft
39.953287,-75.224255,09/17/19,12:35, 3956 Pine St Philadelphia, Unauthorized bank account initialized,other
39.952813,-75.188811,09/17/19,15:41, 3205 Walnut St Philadelphia, Penn Facilities truck stolen,theft
39.953335,-75.183643,09/17/19,19:22, 3000 Chestnut St Philadelphia, Failure to appear/Arrest,other
39.95345,-75.192419,09/18/19,16:20, 3402 Sansom St Philadelphia, Offender failed to pay for services rendered/Arrest,other
39.952908,-75.197717,09/18/19,18:48, 3720 Walnut St Philadelphia, Bike theft/Arrest,theft
39.951243,-75.198958,09/18/19,19:25, 3417 Spruce St Philadelphia, Secured bike taken from rack,theft
39.952773,-75.201202,09/18/19,22:10, 4000 Locust Walk Philadelphia, Warrant/Arrest,other
