latitude,longitude,name,desc,color,source,precision
39.958495,-75.199329,51 N 39th St Philadelphia,"51 North 39th Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,address
39.952657,-75.183889,120 S 30th St Philadelphia,"South 30th Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.956471,-75.221454,3730 Walnut St Philadelphia,"Walnut Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.951243,-75.198958,3417 Spruce St Philadelphia,"Spruce Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.956471,-75.221454,3100 Walnut St Philadelphia,"Walnut Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.956471,-75.221454,2929 Walnut St Philadelphia,"Walnut Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.954925,-75.190403,3100 Ludlow St Philadelphia,"Ludlow Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.949018,-75.207108,211 S 42nd St Philadelphia,"South 42nd Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.947795,-75.230284,4040 Baltimore Ave Philadelphia,"Baltimore Avenue, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.947741,-75.160724,4247 Locust St Philadelphia,"Locust Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.95082,-75.197305,3700 Spruce St Philadelphia,"3700 Spruce Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,address
39.954925,-75.190403,3100 Ludlow St Philadelphia,"Ludlow Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.78373,-100.445882,43rd/Chester Ave Philadelphia,US,,MapQuest Open,country
39.95456,-75.202946,4001 Walnut St Philadelphia,"4001 Walnut Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,address
39.95214,-75.184458,3001 Walnut St Philadelphia,"3001 Walnut Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,address
39.94611,-75.198407,3600 Civic Center Blvd Philadelphia,"Civic Center Boulevard, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.953335,-75.183643,3700 Chestnut St Philadelphia,"Chestnut Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
